"","aircraft","helicopter","tank","APC","field.artillery","MRL","drone","naval.ship","anti.aircraft.warfare","special.equipment","vehicles.and.fuel.tanks","cruise.missiles","personnel"
"2022-07-05",0,0,5,28,2,1,2,0,0,0,5,0,150
"2022-07-06",0,0,6,17,0,0,4,0,2,0,14,9,150
"2022-07-07",0,0,2,8,9,0,3,0,0,1,17,2,150
"2022-07-08",0,0,35,14,13,0,2,0,0,0,20,0,250
"2022-07-09",0,0,1,4,4,0,5,0,1,0,2,0,300
"2022-07-10",0,1,3,8,2,0,2,0,0,0,7,0,100
"2022-07-11",0,0,4,5,4,0,0,0,1,0,2,0,100
"2022-07-12",0,0,4,1,0,0,0,0,0,0,3,0,70
"2022-07-13",0,0,0,3,1,0,2,0,0,1,5,0,100
"2022-07-14",2,0,18,0,1,0,3,0,0,0,16,0,300
"2022-07-15",1,0,5,34,2,0,0,0,0,0,11,0,130
"2022-07-16",0,0,5,8,4,0,6,0,0,1,4,7,140
"2022-07-17",0,0,7,5,0,1,1,0,1,0,11,4,160
"2022-07-18",0,0,3,7,3,0,2,0,3,2,7,0,150
"2022-07-19",0,0,4,6,2,0,3,0,0,0,14,1,100
"2022-07-20",1,0,9,13,5,2,10,0,0,0,8,0,200
"2022-07-21",0,0,4,7,3,1,7,0,0,2,6,0,100
"2022-07-22",0,0,0,8,4,0,3,0,0,0,22,0,150
"2022-07-23",0,0,4,9,1,2,1,0,0,0,17,0,240
"2022-07-24",0,0,14,13,5,2,0,0,0,1,3,3,280
"2022-07-25",1,0,8,8,7,2,5,0,3,0,9,4,180
"2022-07-26",0,1,7,9,4,1,3,0,1,2,3,0,170
"2022-07-27",0,1,1,12,3,0,4,0,0,0,12,0,200
"2022-07-28",0,0,4,8,11,0,3,0,0,0,7,0,160
"2022-07-29",0,0,7,8,6,0,2,0,0,2,16,0,270
"2022-07-30",0,0,10,8,6,0,2,0,0,1,19,0,170
"2022-07-31",1,0,4,9,10,1,2,0,0,2,13,0,160
"2022-08-01",0,0,5,7,16,0,1,0,0,2,10,0,200
"2022-08-02",0,1,0,3,4,0,3,0,0,0,2,0,140
"2022-08-03",0,0,6,8,3,0,1,0,1,1,8,6,180
"2022-08-04",0,0,15,4,7,1,2,0,0,0,38,2,150
"2022-08-05",0,0,3,6,4,0,0,0,5,0,4,0,150
"2022-08-06",0,0,10,19,5,0,2,0,4,2,6,0,250
"2022-08-07",0,0,3,4,3,0,6,0,5,1,8,0,300
"2022-08-08",0,1,6,15,2,1,4,0,0,0,15,0,140
"2022-08-09",0,1,6,6,4,0,3,0,1,1,5,3,300
"2022-08-10",9,0,15,10,7,0,9,0,0,2,7,0,160
"2022-08-11",0,0,14,14,3,0,6,0,1,1,13,0,200
"2022-08-12",1,0,3,8,1,0,6,0,2,0,3,0,200
"2022-08-13",0,0,7,7,3,0,1,0,0,1,15,2,200
"2022-08-14",0,1,8,11,2,0,5,0,0,0,3,0,150
"2022-08-15",0,1,12,15,5,0,3,0,0,1,5,0,200
"2022-08-16",0,1,4,11,4,2,3,0,0,0,5,3,150
"2022-08-17",0,0,6,10,4,0,2,0,0,1,5,0,200
"2022-08-18",1,1,3,17,17,2,1,0,0,0,7,0,200
"2022-08-19",0,0,10,16,6,1,2,0,5,1,69,0,400
"2022-08-20",0,0,8,17,2,0,8,0,0,3,7,0,200
"2022-08-21",0,0,5,12,10,0,3,0,0,2,6,0,300
"2022-08-22",0,1,7,6,4,0,9,0,4,0,6,4,200
"2022-08-23",0,0,2,8,1,0,2,0,1,0,1,2,150
"2022-08-24",0,1,3,5,3,0,2,0,1,0,10,0,150
"2022-08-25",0,3,5,2,1,6,9,0,1,0,0,0,150
"2022-08-26",0,0,7,6,3,0,6,0,0,0,2,0,400
"2022-08-27",0,0,3,3,5,2,2,0,0,0,3,0,250
"2022-08-28",0,0,3,3,5,0,2,0,0,0,6,0,250
"2022-08-29",0,1,5,12,10,5,6,0,1,2,17,0,350
"2022-08-30",0,1,7,25,19,3,3,0,2,2,29,0,450
"2022-08-31",0,0,20,18,12,3,2,0,1,0,19,0,350
"2022-09-01",0,1,23,33,24,2,2,0,1,1,3,0,450
"2022-09-02",0,0,12,21,11,2,2,0,0,1,8,2,350
"2022-09-03",1,0,25,37,8,4,11,0,0,0,21,5,350
"2022-09-04",1,1,15,27,13,1,0,0,3,1,8,0,450
"2022-09-05",0,0,19,29,10,0,3,0,0,1,10,2,300
"2022-09-06",0,1,9,25,22,2,9,0,0,2,19,4,350
"2022-09-07",1,1,20,36,15,4,4,0,0,0,15,5,460
"2022-09-08",2,2,15,37,32,5,4,0,3,1,24,0,640
"2022-09-09",0,1,10,18,11,1,4,0,0,4,55,0,650
"2022-09-10",0,1,14,9,22,5,10,0,3,2,27,1,350
"2022-09-11",3,1,18,33,4,0,4,0,0,1,19,1,400
"2022-09-12",1,0,15,23,0,0,1,0,0,0,18,0,300
"2022-09-13",1,0,6,22,16,0,1,0,3,0,6,17,350
"2022-09-14",2,2,5,3,11,0,4,0,2,3,32,0,350
"2022-09-15",4,0,13,17,5,0,0,0,0,0,21,0,200
"2022-09-16",0,1,6,8,7,1,0,0,1,1,28,0,200
"2022-09-17",1,0,3,11,4,0,3,0,0,0,21,3,200
"2022-09-18",0,1,8,17,3,0,7,0,0,1,7,2,230
"2022-09-19",0,0,2,2,4,0,2,0,0,3,3,0,170
"2022-09-20",1,0,4,4,10,6,5,0,0,0,6,1,160
"2022-09-21",1,0,11,24,17,0,7,0,0,0,23,0,300
"2022-09-22",0,1,9,28,1,0,9,0,1,0,20,1,400
"2022-09-23",1,1,18,20,14,8,9,0,1,1,29,0,550
"2022-09-24",1,1,8,11,6,1,6,0,0,0,22,0,240
"2022-09-25",4,0,13,25,7,1,10,0,1,4,20,1,400
"2022-09-26",1,4,15,25,1,2,4,0,1,1,10,0,500
"2022-09-27",1,0,16,24,9,1,7,0,3,0,19,0,550
"2022-09-28",1,0,6,8,3,0,12,0,0,0,12,1,400
"2022-09-29",0,0,13,20,4,0,6,0,0,0,9,4,430
"2022-09-30",2,1,13,23,6,2,8,0,1,0,17,0,500
"2022-10-01",0,1,16,17,6,3,6,0,0,0,18,0,530
"2022-10-02",0,1,23,26,8,1,6,0,0,0,10,0,500
"2022-10-03",1,1,3,16,0,1,11,0,0,0,15,0,320
"2022-10-04",1,0,44,27,2,2,2,0,1,0,12,0,370
"2022-10-05",0,4,11,20,7,1,4,0,0,1,18,0,200
